dia_da_semana,nome_do_fornecedor,produto,preco_reais
domingo,juntos somos vezes,queijo muçarela,55
domingo,dividir pra conquistar,peito de frango,23
domingo,soma pão,pão francês,14
domingo,juntos somos vezes,tomate,6
domingo,dividir pra conquistar,tomate,7
segunda,juntos somos vezes,queijo muçarela,51
segunda,dividir pra conquistar,peito de frango,22
segunda,soma pão,pão francês,14
segunda,juntos somos vezes,tomate,6.5
segunda,dividir pra conquistar,tomate,9
terça,juntos somos vezes,queijo muçarela,53
terça,dividir pra conquistar,peito de frango,22
terça,soma pão,pão francês,14
terça,juntos somos vezes,tomate,8
terça,dividir pra conquistar,tomate,10
quarta,juntos somos vezes,queijo muçarela,53
quarta,dividir pra conquistar,peito de frango,23
quarta,soma pão,pão francês,14
quarta,juntos somos vezes,tomate,7
quarta,dividir pra conquistar,tomate,6
quinta,juntos somos vezes,queijo muçarela,43
quinta,dividir pra conquistar,peito de frango,22.5
quinta,soma pão,pão francês,
quinta,juntos somos vezes,tomate,7.5
quinta,dividir pra conquistar,tomate,7
sexta,juntos somos vezes,queijo muçarela,52
sexta,dividir pra conquistar,peito de frango,22
sexta,soma pão,pão francês,
sexta,juntos somos vezes,tomate,8.5
sexta,dividir pra conquistar,tomate,8
sabado,juntos somos vezes,queijo muçarela,54
sabado,dividir pra conquistar,peito de frango,24
sabado,soma pão,pão francês,13
sabado,juntos somos vezes,tomate,7
sabado,dividir pra conquistar,tomate,7